Device.WiFi.AccessPoint.1.AssociatedDevice.1.MACAddress	None
Device.WiFi.AccessPoint.1.AssociatedDevice.1.OperatingStandard	None
Device.WiFi.AccessPoint.1.AssociatedDevice.1.AuthenticationState	None
Device.WiFi.AccessPoint.1.AssociatedDevice.1.LastDataDownlinkRate	None
Device.WiFi.AccessPoint.1.AssociatedDevice.1.LastDataUplinkRate	None
Device.WiFi.AccessPoint.1.AssociatedDevice.1.AssociationTime	None
Device.WiFi.AccessPoint.1.AssociatedDevice.1.SignalStrength	None
Device.WiFi.AccessPoint.1.AssociatedDevice.1.Active	None
Device.IP.Diagnostics.IPPing.DiagnosticsState	None
Device.IP.Diagnostics.IPPing.Host	
Device.IP.Diagnostics.IPPing.NumberOfRepetitions	3
Device.IP.Diagnostics.IPPing.Timeout	1000
Device.IP.Diagnostics.IPPing.DataBlockSize	64
Device.IP.Diagnostics.IPPing.SuccessCount	0
Device.IP.Diagnostics.IPPing.FailureCount	0
Device.IP.Diagnostics.IPPing.AverageResponseTime	0
Device.IP.Diagnostics.IPPing.MinimumResponseTime	0
Device.IP.Diagnostics.IPPing.MaximumResponseTime	0
Device.IP.Interface.1.Enable	True
Device.IP.Interface.1.Status	None
Device.IP.Interface.1.Name	loopback
Device.IP.Interface.1.Type	Loopback
Device.IP.Interface.1.IPv4AddressNumberOfEntries	1
Device.IP.Interface.1.IPv4Address.1.IPAddress	127.0.0.1
Device.IP.Interface.1.IPv4Address.1.AddressingType	Static
Device.IP.Interface.1.IPv4Address.1.Enable	True
Device.IP.Interface.1.IPv4Address.1.Status	None
Device.IP.Interface.1.IPv4Address.1.SubnetMask	255.0.0.0
Device.IP.Interface.1.Stats.BytesSent	7709
Device.IP.Interface.1.Stats.BytesReceived	7709
Device.IP.Interface.1.Stats.PacketsSent	81
Device.IP.Interface.1.Stats.PacketsReceived	81
Device.IP.Interface.1.Stats.ErrorsSent	0
Device.IP.Interface.1.Stats.ErrorsReceived	0
Device.IP.Interface.1.Stats.DiscardPacketsSent	0
Device.IP.Interface.1.Stats.DiscardPacketsReceived	0
Device.UserInterface.RemoteAccess.Enable	False
Device.UserInterface.RemoteAccess.Port	443
Device.UserInterface.RemoteAccess.Protocal	HTTPS
Device.UserInterface.RemoteAccess.SupportedProtocal	HTTPS
Device.User.User.1.Enable	True
Device.User.User.1.Password	********
Device.User.User.1.RemoteAccessCapable	True
Device.User.User.1.Username	admin
Device.DeviceInfo.SpecVersion	1.0
Device.DeviceInfo.ProvisioningCode	
Device.DeviceInfo.Manufacturer	Ignition Design Labs Inc.
Device.DeviceInfo.ManufacturerOUI	0078cd
Device.DeviceInfo.ProductClass	Portal
Device.DeviceInfo.ModelName	Portal
Device.DeviceInfo.ModelNumber	SAP102
Device.DeviceInfo.SerialNumber	0078CD025CE8
Device.DeviceInfo.HardwareVersion	013
Device.DeviceInfo.SoftwareVersion	3.18.19_saturn-1.4.258_prod-1.102.249
Device.DeviceInfo.DeviceCategory	WiFi AP Router
Device.DeviceInfo.Description	Portal Smart WiFi Router
Device.DeviceInfo.UpTime	1322
Device.DeviceInfo.DeviceLog	
Device.DeviceInfo.MemoryStatus.Total	126040
Device.DeviceInfo.MemoryStatus.Free	46608
